Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh),timestamp
67,0.00,0.03,0.00,0.00,13.18,0.00,0.00,13.18,25.00,77,13.22,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  0:19:0
68,0.00,0.03,0.00,0.01,13.18,0.13,0.00,13.18,25.00,77,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  0:30:0
69,0.00,0.00,0.00,0.00,13.18,0.00,0.00,13.18,25.00,77,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  0:41:0
70,0.00,0.03,0.00,0.01,13.18,0.13,0.00,13.18,25.00,77,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  0:52:0
71,0.00,0.02,0.00,0.01,13.17,0.13,0.00,13.17,25.00,77,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:3:0
72,0.00,0.00,0.00,0.00,13.18,0.00,0.00,13.18,25.00,77,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:14:0
73,0.00,0.06,0.00,0.01,13.17,0.13,0.00,13.17,25.00,76,13.22,13.16,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:25:0
74,0.00,0.05,0.00,0.01,13.17,0.13,0.00,13.17,25.00,76,13.22,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:36:0
75,0.00,0.00,0.00,0.01,13.17,0.13,0.00,13.17,25.00,76,13.22,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:47:0
76,0.00,0.03,0.00,0.00,13.17,0.00,0.00,13.17,25.00,76,13.22,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  1:58:0
77,0.00,0.02,0.00,0.00,13.17,0.00,0.00,13.17,25.00,76,13.22,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  2:9:0
78,0.00,0.01,0.00,0.01,13.17,0.13,0.00,13.17,25.00,76,13.22,13.15,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  2:20:0
79,0.00,0.00,0.00,0.01,13.16,0.13,0.00,13.16,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  2:31:0
80,0.00,0.05,0.00,0.00,13.16,0.00,0.00,13.16,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  2:42:0
81,0.00,0.00,0.00,0.00,13.16,0.00,0.00,13.16,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  2:53:0
82,0.00,0.00,0.00,0.00,13.16,0.00,0.00,13.16,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  3:4:0
83,0.00,0.00,0.00,0.00,13.16,0.00,0.00,13.16,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  3:15:0
84,0.00,0.05,0.00,0.01,13.16,0.13,0.00,13.16,25.00,75,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  3:27:0
85,0.00,0.01,0.00,0.01,13.15,0.13,0.00,13.15,25.00,75,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  3:38:0
86,0.00,0.05,0.00,0.00,13.15,0.00,0.00,13.15,25.00,76,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  3:49:0
87,0.00,0.04,0.00,0.01,13.16,0.13,0.00,13.16,25.00,75,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:0:0
88,0.00,0.00,0.00,0.01,13.15,0.13,0.00,13.15,25.00,75,13.22,13.14,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:11:0
89,0.00,0.08,0.00,0.02,13.15,0.26,0.00,13.15,25.00,75,13.22,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:22:0
90,0.00,0.14,0.00,0.00,13.15,0.00,0.00,13.15,25.00,75,13.22,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:33:0
91,0.00,1.77,0.00,0.01,13.15,0.13,0.00,13.15,25.00,75,13.22,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:44:0
92,0.00,3.98,0.00,0.01,13.15,0.13,0.00,13.15,25.00,75,13.22,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  4:55:0
93,0.00,11.02,0.00,0.01,13.15,0.13,0.00,13.15,25.00,75,13.22,13.13,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  5:6:0
94,0.00,14.03,0.00,0.00,13.13,0.00,0.00,13.13,25.00,75,13.29,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  5:17:0
95,0.03,14.03,0.52,0.01,13.15,0.13,0.04,13.15,25.00,75,13.29,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  5:28:0
